port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county_geocoder,latitude,longitude,ll_county,county,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
"Indianapolis, IN",,,12379,41014,6653,,358107,,13013666,,41796,565880,,,15924,20809,Marion County,39.76900,-86.16136,Marion,Marion,18,097,00450371,0500000US18097,18097,Marion,06,1026612130,17179347
"International Falls-Ranier, MN",,309530535,14827078,61117680,249800,102132378,498185293,503462,,7600875,71174647,208215663,206069,8994870,84083632,152465641,Koochiching County,48.60554,-93.40292,Koochiching,Koochiching,27,071,00659481,0500000US27071,27071,Koochiching,06,8039819285,129002453
"JFK International Airport, NY",151580947,79304,143042929,128729083,241078009,1481965,172779274,21534334,67233307,148539,62534069,56313826,219173382,3301000,131711170,39157021,Queens County,40.64131,-73.77814,Queens,Queens,36,081,00974139,0500000US36081,36081,Queens,06,281708062,179390933
"Jackman, ME",,3317523,7938169,3519892,1476762,392989,16635798,53712,,,74203,137302,193852,11233,5391678,,Somerset County,45.80543,-70.39584,Somerset,Somerset,23,025,00581298,0500000US23025,23025,Somerset,06,10164092046,437895944
"Jacksonville, FL",,319497,240711099,6411573,241955799,5322626,97090605,9760509,49753,6264831,47282712,35611724,146796340,25466431,145441142,66447470,Duval County,30.35618,-81.62505,Duval,Duval,12,031,00293656,0500000US12031,12031,Duval,06,1975214580,403585903
"Jonesport, ME",,,,,,,,,,,,22908,21540,238223,129582,,Washington County,44.53480,-67.59301,Washington,Washington,23,029,00581300,0500000US23029,23029,Washington,06,6637326623,1800003685
"Juneau, AK",,,,,147158,,,,,,12083,,544311,,,,Juneau,58.29861,-134.40556,Juneau,Juneau,02,110,01419971,0500000US02110,02110,Juneau,03,6998163331,1429463661
"Kahului, HI",,,,,,,,,,,133249,,,,10250,,Maui County,20.89421,-156.46682,Maui,Maui,15,009,00365283,0500000US15009,15009,Maui,06,-1286616079,-1091675445
"Kalama, WA",,,,,,,,,,1508344769,2038065660,23965828,,,,,Cowlitz County,46.00571,-122.84605,Cowlitz,Cowlitz,53,015,01529156,0500000US53015,53015,Cowlitz,06,-1341249390,67323174
"Kansas City, MO",,,,86263,,3704,885570,3662652,4709,,,,,,15300,,Jackson County,39.10900,-94.58603,Jackson,Jackson,29,095,00758502,0500000US29095,29095,Jackson,06,1565835130,30484057
"Kenmore Air Harbor, WA",,,,,,,,,,,,,3282,,,34912,King County,47.62857,-122.33983,King,King,53,033,01531933,0500000US53033,53033,King,06,5479358152,496938646
"Ketchikan, AK",,,,,61300,,,,,,,,2550262,,52571,,Ketchikan Gateway,55.35168,-131.68386,Ketchikan Gateway,Ketchikan Gateway,02,130,01419973,0500000US02130,02130,Ketchikan Gateway,04,12583212278,4649427959
"Key West, FL",,,8133,,,,,,,,27974,,25377,12314,13130,357586,Monroe County,24.56115,-81.80126,Monroe,Monroe,12,087,00295759,0500000US12087,12087,Monroe,06,-1748970119,7133387352
"Knoxville, TN",,,,,,,,,,,10040,,,,,,Knox County,35.95730,-83.84268,Knox,Knox,47,093,01639761,0500000US47093,47093,Knox,06,1316269093,45712672
"Kona, HI",,,,,76012,,,,,,3506458,,,,3953703,,Hawaii County,19.63937,-155.99695,Hawaii,Hawaii,15,001,00365280,0500000US15001,15001,Hawaii,06,10433637858,-1555497266
"Lake Charles, LA",,,,,,,,,,189232021,9136496,,17300,8415709,3774662,,Calcasieu Parish,30.21582,-93.24975,Calcasieu,Calcasieu,22,019,00558468,0500000US22019,22019,Calcasieu,15,-1538429096,77608623
"Lancaster, MN",,,434415,,,,,16554,,,63068,,,,,,Kittson County,48.99813,-96.80035,Kittson,Kittson,27,069,00659480,0500000US27069,27069,Kittson,06,-1449072449,12411746
"Laredo, TX",26485872,1958000,1316641019,157935714,364044458,515330880,1714109951,779619818,23270457,1083488902,948569107,604957512,2041421775,307930445,2339552204,297711783,Webb County,27.67982,-99.45527,Webb,Webb,48,479,01384025,0500000US48479,48479,Webb,06,8706186702,36555096
"Las Vegas, NV",16950,,1617000,99671,540261,2846,524340,9439652,,,1635166,19827,122299,10915,1775052,27342,Clark County,36.16172,-115.17360,Clark,Clark,32,003,00863600,0500000US32003,32003,Clark,06,20439281442,438376844
"Laurier, WA",,,,,,,,,,,497883,,,,,,Ferry County,48.99938,-118.22438,Ferry,Ferry,53,019,01531821,0500000US53019,53019,Ferry,06,5706360691,140294376
"Limestone, ME",,267356,75126,,,,,,,345229,195526,,,,31372,,Aroostook County,46.92496,-67.79001,Aroostook,Aroostook,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178
"Little Rock, AR",,,,,,,4548261,8386564,37772,,3781,7339,,,,,Pulaski County,34.71767,-92.17461,Pulaski,Pulaski,05,119,00069177,0500000US05119,05119,Pulaski,06,1964693964,127125478
"Logan Airport, MA",469381,,8789190,8544055,64027416,21332,4090231,342361,8111385,,775484,2234822,82993401,12640,4800158,2660,Suffolk County,42.36561,-71.00956,Suffolk,Suffolk,25,025,00606939,0500000US25025,25025,Suffolk,06,150865086,160470296
"Long Beach, CA",,14179054,256640912,63233227,312279193,62155463,265531670,300924403,,112189730,3158322213,1684361511,1035948584,191907093,1365439886,139069150,Los Angeles County,33.75418,-118.21646,Los Angeles,Los Angeles,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510651024,1794730436
"Longview, WA",,,15811,6283,,,53203,,,828788525,1049935702,76759838,,,,6829,Cowlitz County,46.10801,-122.95198,Cowlitz,Cowlitz,53,015,01529156,0500000US53015,53015,Cowlitz,06,-1341249390,67323174
"Los Angeles International Airport, CA",38453751,,277355062,38684329,239181267,1108512,77390044,3500315,78260377,260709,463156788,9524490,53328523,3934071,249470728,32074676,Los Angeles County,33.94159,-118.40853,Los Angeles,Los Angeles,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510651024,1794730436
"Los Angeles, CA",508000,190620849,1950012937,580336811,4177936642,466448063,2026630580,1454774519,85860,138166310,4167755954,1890000112,1829355217,134882532,1698089520,151457411,Los Angeles County,33.73955,-118.25997,Los Angeles,Los Angeles,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510651024,1794730436
"Louisville, KY",,,347666,852947,,8700,471616,123693237,,9197,257855,216967,,,598395,20252,Jefferson County,38.16467,-85.90007,Jefferson,Jefferson,21,111,00516902,0500000US21111,21111,Jefferson,06,985427632,44565599
"Lukeville, AZ",,,,,30603,,33136,,,,189796,,29328,,,20349,Pima County,31.88042,-112.81690,Pima,Pima,04,019,00025446,0500000US04019,04019,Pima,06,23794775138,5273054
"Lynden, WA",,233920,18496477,2508363,,,14400,32481,386590,111637,40458992,328537,2519432,1739919,6756787,1028445,Whatcom County,49.00167,-122.48581,Whatcom,Whatcom,53,073,01529224,0500000US53073,53073,Whatcom,06,5459395531,1028184731
"Mackinac Island, MI",,,,,,,,,,,4360,,,,15222,,Mackinac County,45.85099,-84.61445,Mackinac,Mackinac,26,097,01622991,0500000US26097,26097,Mackinac,06,-1648155368,-1501169467
"Madawaska, ME",,,11200,,,,,,,109950,57960,103118,,,291110,19765,Aroostook County,47.35721,-68.32859,Aroostook,Aroostook,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178
"Maida, ND",,167291,2017960,1027462,,,,,,,251292,20769,,,,,Cavalier County,48.99851,-98.36585,Cavalier,Cavalier,38,019,01035304,0500000US38019,38019,Cavalier,06,-439121145,54931547
Mail Shipments,,,,,,,,,,3467,3236737,758057,,2515,89494,10909,,40.77657,-74.01049,Hudson,Hudson,34,017,00882278,0500000US34017,34017,Hudson,06,119786739,41812801
"Marquette, MI",,,,,,,,,,,4808,,,49622,,,Marquette County,46.58157,-87.38454,Marquette,Marquette,26,103,01622994,0500000US26103,26103,Marquette,06,4683963838,-109608477
"Massena, NY",303646,903414,8368858,12590650,,5651774,17573141,6122491,4971,41872,556030,4268693,677158,264940,4522986,253814,St Lawrence County,44.95478,-74.82422,St. Lawrence,St. Lawrence,36,089,00977309,0500000US36089,36089,St. Lawrence,06,6939259168,367916370
"Mayaguez, PR",2500,3540722,503835,6089817,23402,44683,3373335,157282,,3030,94229,87500,,156419,42289,23481,,18.21847,-67.15968,Mayagüez,,72,097,01804529,0500000US72097,72097,Mayagüez,13,201174437,508705758
"Meadows Field Airport Bakersfield, CA",,,2874,,,,,,,,,,,,,,Kern County,35.43291,-119.05662,Kern,Kern,06,029,02054176,0500000US06029,06029,Kern,06,21061589620,79574760
"Melbourne Regional Airport, FL",,,,,56286,,,,,,,,,,,,Brevard County,28.10252,-80.64537,Brevard,Brevard,12,009,00295749,0500000US12009,12009,Brevard,06,-1665113968,1402820790
"Memphis, TN",3435,260286,2872945,1683478,5130888,119288,12096272,40453,22238474,,2991713,4554791,1979023,13235,5671755,24854,Shelby County,35.10797,-90.08943,Shelby,Shelby,47,157,01639790,0500000US47157,47157,Shelby,06,1977687718,55517852
"Metaline Falls, WA",,,,,,,24602,,,,354063,,,,,,Pend Oreille County,48.85083,-117.39106,Pend Oreille,Pend Oreille,53,051,01529157,0500000US53051,53051,Pend Oreille,06,-668337194,65388389
"Miami International Airport, FL",88972678,99920814,1376114882,43916211,928974100,1757958,26150694,1161796,49727208,19839347,66315286,44735729,31057102,1679478,117581050,1876134,Miami-Dade County,25.79586,-80.28705,Miami-Dade,Miami-Dade,12,086,00295755,0500000US12086,12086,Miami-Dade,06,4917514829,1379208315
"Miami, FL",,73382763,874840066,39617900,925110189,42117637,240192628,642710177,417325,11787789,699183532,53770374,258040476,85414077,453584671,178992679,Miami-Dade County,25.77454,-80.17088,Miami-Dade,Miami-Dade,12,086,00295755,0500000US12086,12086,Miami-Dade,06,4917514829,1379208315
"MidAmerican Airport, Mascoutah, IL",,,248671,,,,,,,,,,,,,,St Clair County,38.54920,-89.82164,St. Clair,St. Clair,17,163,01784987,0500000US17163,17163,St. Clair,06,1703639689,42092622
"Milwaukee, WI",,,472803,1139123,,3516289,1226611,2381430,26854,2270588,899116,,,,,,Milwaukee County,43.00281,-87.89114,Milwaukee,Milwaukee,55,079,01581100,0500000US55079,55079,Milwaukee,06,625803949,-1839892825
"Minneapolis-St. Paul, MN",38016,91789,6391823,965418,2800254,4185983,18884670,10621383,612718,3444,464494,538758,215701,194717,2664092,43554,Hennepin County,44.88476,-93.22228,Hennepin,Hennepin,27,053,00659472,0500000US27053,27053,Hennepin,06,1433923040,137089920
"Mobile, AL",,,4788060,212251,669840,391008,114013399,1258571,542241,13485452,248883541,1836556,438341126,2854171,76561922,36583,Mobile County,30.68678,-88.03816,Mobile,Mobile,01,097,00161575,0500000US01097,01097,Mobile,06,-1110835961,1073840930
"Morgan City, LA",,,18048,,,,,,,3140,753126,5953,412591,,17612,38680,St Mary Parish,29.69148,-91.19995,St. Mary,St. Mary,22,101,01629492,0500000US22101,22101,St. Mary,15,1438845622,1460445312
"Morristown Airport, Newark, NJ",,,,,,,,,210910,,,2553,141344,26257,9071,421869,Morris County,40.79497,-74.42326,Morris,Morris,34,027,00882231,0500000US34027,34027,Morris,06,1192817713,54393389
"Naco, AZ",,,,,,27532,,,,,,,59723,,,2851,Cochise County,31.33462,-109.94827,Cochise,Cochise,04,003,00025442,0500000US04003,04003,Cochise,06,15966175635,137024922
"Nashville, TN",,,,,,,,,,,5393,,16782,,2518,3863,Davidson County,36.25990,-86.74287,Davidson,Davidson,47,037,01639737,0500000US47037,47037,Davidson,06,1304953365,56649279
"Nawiliwili-Port Allen, HI",,,,,18495,,,,,,,,,,,,Kauai County,21.95465,-159.35714,Kauai,Kauai,15,007,00365282,0500000US15007,15007,Kauai,06,1605492336,1674244223
"Neah Bay, WA",,,,,,,,,,,8373,,,,,,Clallam County,48.36647,-124.61013,Clallam,Clallam,53,009,01531341,0500000US53009,53009,Clallam,06,4503153139,-1881089760
"Neche, ND",,315384,7186284,,,,,,17291,147082,27016806,83724,73899,,11337,,Pembina County,48.99909,-97.55792,Pembina,Pembina,38,067,01034212,0500000US38067,38067,Pembina,06,-1397563067,7014875
"New Bedford, MA",,,,,31130,87798,,,,,,,577706,,,,,41.63573,-70.92118,Bristol,Bristol,25,005,00606929,0500000US25005,25005,Bristol,06,1432482514,357547961
"New Haven, CT",,,,,,,,21838643,,,,,,,,,New Haven County,41.29187,-72.90324,New Haven,New Haven,09,009,00212798,0500000US09009,09009,New Haven,06,1565652258,667093746
"New Orleans, LA",15213,17802367,894073238,43608041,5239324,2316269,948164210,104530829,3938042,5043457094,7587481045,2010132388,358125339,47442643,1474171679,44317950,Orleans Parish,29.93711,-90.06149,Orleans,Orleans,22,071,00558113,0500000US22071,22071,Orleans,15,438799508,467299606
"New York, NY",,7776566,372644528,44087548,464699350,69132384,410151514,306364608,252996,25126169,381220591,427950928,327115435,198463836,1256942005,125410070,Kings County,40.68397,-74.00624,Kings,Kings,36,047,00974122,0500000US36047,36047,Kings,06,180813964,69955385
"Newark, NJ",18776604,208498276,3358883897,494663548,3231114908,944810491,6320096855,5142455762,4443145,3317750,69999736,64072860,215023401,50604782,298356577,15432953,Essex County,40.69001,-74.15175,Essex,Essex,34,013,00882276,0500000US34013,34013,Essex,06,326643513,8478686
"Newport News, VA",,,,,,,,78982,,,,,388798,15735,19980,,,37.07785,-76.46805,Newport News,Newport News,51,700,01498555,0500000US51700,51700,Newport News,25,178921044,130901482
"Newport, OR",,,,,,,,,,1120693,118445,18095205,150000,,33344,,Lincoln County,44.62120,-124.04839,Lincoln,Lincoln,41,041,01135856,0500000US41041,41041,Lincoln,06,-1755750171,554661512
"Newport, RI",,,,,,,,29241218,,,,244857,,,,,Newport County,41.48345,-71.31551,Newport,Newport,44,005,01219779,0500000US44005,44005,Newport,06,265313258,546982296
"Nogales, AZ",95164994,3888368,2628361210,18782579,284497751,41014774,125792219,206522762,7509592,35693980,406827163,208265401,92442836,22101972,61148070,14982698,Santa Cruz County,31.33601,-110.96585,Santa Cruz,Santa Cruz,04,023,00040472,0500000US04023,04023,Santa Cruz,06,-1091354047,3088046
"Noonan, ND",,,,,,,,,,,4918963,,,63558,,,Divide County,48.99779,-103.00583,Divide,Divide,38,023,01034234,0500000US38023,38023,Divide,06,-1029652246,86629398
"Norfolk-Newport News, VA",3260,24712431,1754709717,131357996,705396074,75765190,513057400,919703433,30200,180955782,2163891867,700318090,715498548,102059365,618147321,159334875,,36.84595,-76.29237,Norfolk,Norfolk,51,710,01498557,0500000US51710,51710,Norfolk,25,137985835,111697132
"Northgate, ND",,11581359,7499601,,,,,,,29934,152853,114259,187282,439605,522822,298847,Burke County,48.99795,-102.27586,Burke,Burke,38,013,01034235,0500000US38013,38013,Burke,06,-1436701374,65700835
"Norton, VT",,3085583,10886842,4037999,,123511,12855441,12322,3772,8645,2646576,258559,21602,122808,1328119,25900,Essex County,45.01033,-71.79416,Essex,Essex,50,009,01461761,0500000US50009,50009,Essex,06,1718726095,28674612
"Oakland, CA",1450560,111407453,1443195058,192966885,461195629,220995992,820331498,1541848530,484108,424167826,5415978285,406361650,2725219845,135609037,1569400414,866611968,Alameda County,37.79561,-122.27917,Alameda,Alameda,06,001,01675839,0500000US06001,06001,Alameda,06,1914242789,212979931
"Ogdensburg, NY",,2236120,2927452,8869703,90310,8388361,6457219,129465,85436,,6527925,3799186,816270,449240,6011673,224572,St Lawrence County,44.71869,-75.45542,St. Lawrence,St. Lawrence,36,089,00977309,0500000US36089,36089,St. Lawrence,06,6939259168,367916370
"Oklahoma City, OK",,,,,,,,,358383,,,,,,,,McIntosh County,35.44045,-95.59750,McIntosh,McIntosh,40,091,01101836,0500000US40091,40091,McIntosh,06,1601897950,242913899
"Olympia, WA",,,,,,,,,,,69000,,,,,,Thurston County,47.04946,-122.90320,Thurston,Thurston,53,067,01529226,0500000US53067,53067,Thurston,06,1871151578,133733459
"Omaha, NE",,,9444529,383,,,24883,328332,,,,,,,,,Douglas County,41.30652,-95.90433,Douglas,Douglas,31,055,00835849,0500000US31055,31055,Douglas,06,850767845,28136519
"Ontario International Airport, CA",,,,,,,,,,,,,,,20579,4200,San Bernardino County,34.05598,-117.59806,San Bernardino,San Bernardino,06,071,00277300,0500000US06071,06071,San Bernardino,06,51948120575,123845026
"Opheim, MT",,102527,147883,,,,,,46529,,413239,472397,,,,,,48.99850,-106.38087,Valley,Valley,30,105,01678923,0500000US30105,30105,Valley,06,12758543078,351470583
"Orlando Executive Airport, FL",,,,,,,,,,,23226,,16293,,26850,,Orange County,28.54624,-81.33209,Orange,Orange,12,095,00295750,0500000US12095,12095,Orange,06,-1955392699,258804996
"Orlando, FL",478430,,8730654,3307235,6118322,84517,1277846,806824,,2684,9622895,163815,182144,188674,14264540,51353,Orange County,28.43239,-81.47009,Orange,Orange,12,095,00295750,0500000US12095,12095,Orange,06,-1955392699,258804996
"Orlando-Sanford Airport, FL",,560973,49353,471647,1522944,,144079,102516,,,2071536,,2777,,151921,,Orange County,28.40013,-81.53461,Orange,Orange,12,095,00295750,0500000US12095,12095,Orange,06,-1955392699,258804996
"Oroville, WA",50559294,115275,18850199,9733832,69061,4053268,3503683,46266,443875,2849325,13883631,522901,6557,733110,15349119,11136352,Okanogan County,48.99933,-119.46276,Okanogan,Okanogan,53,047,01531928,0500000US53047,53047,Okanogan,06,13639258855,120536293
"Oswego, NY",,8741045,,,,,,,,,5811,7484,,4643,39171,,Oswego County,43.46385,-76.51032,Oswego,Oswego,36,075,00974136,0500000US36075,36075,Oswego,06,-1830221216,933480216
"Otay Mesa, CA",314789,1107052,1008615241,3985215,87244544,43695610,109528840,213763563,466560,16665536,302992608,33805447,169737222,60324363,424737619,25632560,San Diego County,32.55057,-116.93822,San Diego,San Diego,06,073,00277301,0500000US06073,06073,San Diego,06,10895149811,826195031
"Owensboro-Evansville, IN",,,,,,,,20410204,,,,,,,,,Daviess County,37.79810,-87.14963,Daviess,Daviess,21,059,00516876,0500000US21059,21059,Daviess,06,1187163562,47158144
"Pal-Waukee User Fee Airport, Wheeling, IL",,,55120,,,,,,,,,,,,,,Cook County,42.11707,-87.90113,Cook,Cook,17,031,01784766,0500000US17031,17031,Cook,06,-1847451039,1786450196
"Palm Springs Regional Airport, CA",,,,,,,,,105184,,50358,10581,,,23859,,Riverside County,33.83032,-116.50705,Riverside,Riverside,06,065,00277297,0500000US06065,06065,Riverside,06,18664206749,250926952
"Panama City, FL",,,21483203,36412,29278461,183122,12462049,42969,,,53509304,1720780,1313468,1341334,9177005,837093,Bay County,30.18381,-85.73127,Bay,Bay,12,005,00295738,0500000US12005,12005,Bay,06,1964402055,711451660
"Pascagoula, MS",,,,,,,,,,,849734,,51509194,,,,Jackson County,30.36431,-88.55687,Jackson,Jackson,28,059,00695753,0500000US28059,28059,Jackson,06,1871915875,830485604
"Paulsboro, NJ",,,,,,,,19187536,,,,,,,,28377560,Camden County,39.89857,-75.12652,Camden,Camden,34,007,00882273,0500000US34007,34007,Camden,06,573287175,15729813
"Pembina, ND",249252261,361348693,320578295,202001973,170092647,136020630,1065204771,557403,6211705,84550600,195824367,186819629,95739661,76880783,224514708,83759124,Pembina County,48.99918,-97.23923,Pembina,Pembina,38,067,01034212,0500000US38067,38067,Pembina,06,-1397563067,7014875
"Pensacola, FL",,,,,,,,,,,,,30691985,,,,Escambia County,30.40588,-87.21060,Escambia,Escambia,12,033,00295737,0500000US12033,12033,Escambia,06,1701332835,564141187
"Peoria, IL",,,16770,,,139339,,,,,,,,,,,Peoria County,40.74053,-89.55345,Peoria,Peoria,17,143,01784920,0500000US17143,17143,Peoria,06,1603693533,29505061
"Perth Amboy, NJ",,,589696,188994,,,8451,24557591,,,414925,20174,,,3642963,83743316,Middlesex County,40.51974,-74.25945,Middlesex,Middlesex,34,023,00882230,0500000US34023,34023,Middlesex,06,800962803,35374817
"Philadelphia International Airport, PA",115391,,2866886,6986203,118222,15202,28145683,31681,68682,3230,2715222,3565920,8631968,365567,10224323,73505,,39.87440,-75.24242,Philadelphia,Philadelphia,42,101,01209187,0500000US42101,42101,Philadelphia,06,347519465,22089787
"Philadelphia, PA",13886,116566509,1220779516,50304113,1479503535,48384319,1181603062,177737355,198658,94120,16912703,20381403,63635391,5587859,72303874,4840902,Philadelphia County,39.98047,-75.08958,Philadelphia,Philadelphia,42,101,01209187,0500000US42101,42101,Philadelphia,06,347519465,22089787
"Phoenix, AZ",,,482154,494355,1790053,2083,113047,3295492,,,562554,,40555,105451,359524,2953,Maricopa County,33.43727,-112.00779,Maricopa,Maricopa,04,013,00037026,0500000US04013,04013,Maricopa,06,23825796441,64389075
"Piegan, MT",,380433,4019,,,37435,,,7396,,228664,,,2923,,,Glacier County,48.99694,-113.38040,Glacier,Glacier,30,035,01719607,0500000US30035,30035,Glacier,06,7756748578,106139963
"Pittsburgh, PA",,,2117,,,28837,97673,,,,3935,,,,13797,,Allegheny County,40.44191,-79.99777,Allegheny,Allegheny,42,003,01213657,0500000US42003,42003,Allegheny,06,1890889706,37411488
"Plymouth, MA",,,,,,,,,,,,,9413,,,,Plymouth County,41.98731,-70.71237,Plymouth,Plymouth,25,023,00606938,0500000US25023,25023,Plymouth,06,1706313612,1125287797
"Point Roberts, WA",,,7686,,,,,566192,,44848,47736,27172,5353,,6407,15318,Whatcom County,49.00132,-123.06817,Whatcom,Whatcom,53,073,01529224,0500000US53073,53073,Whatcom,06,5459395531,1028184731
"Ponce, PR",,,,,,,27142119,,,,,,,,281035,,Playa,17.97034,-66.61512,Ponce,Ponce,72,113,01804537,0500000US72113,72113,Ponce,13,297322114,204115046
"Port Angeles, WA",,,,3139,,5472,,,,31231,2104912,296015,97408,1169023,1422377,100132,Clallam County,47.97684,-123.53688,Clallam,Clallam,53,009,01531341,0500000US53009,53009,Clallam,06,4503153139,-1881089760
"Port Arthur, TX",,,,,,,23409254,6500,,,,,,,,,Jefferson County,29.96835,-94.02276,Jefferson,Jefferson,48,245,01383908,0500000US48245,48245,Jefferson,06,-2025335880,612122543
"Port Canaveral, FL",,,310152,,,,9580628,89585190,,,188066,3900,8052,,64140603,,Brevard County,28.40387,-80.61260,Brevard,Brevard,12,009,00295749,0500000US12009,12009,Brevard,06,-1665113968,1402820790
"Port Everglades, FL",,22889990,520802955,15025896,389123698,51824558,231163120,1113732718,928404,9424925,465470924,56692922,330803814,100571648,406573889,66944325,Broward County,26.09152,-80.12427,Broward,Broward,12,011,00295753,0500000US12011,12011,Broward,06,-1168965328,300067051
"Port Hueneme, CA",,,321903364,,26151675,26050,514602,57216,,228446,25068951,80144,191843,55163,18285906,51969,Ventura County,34.14917,-119.20872,Ventura,Ventura,06,111,00277320,0500000US06111,06111,Ventura,06,4773390489,945942791
"Port Huron, MI",65044981,75491531,225084208,79536840,27971317,310130288,442725712,71128821,22076551,121596779,1104641518,523961397,233224857,581141177,1355689618,554025203,St Clair County,42.97509,-82.42575,St. Clair,St. Clair,26,147,01625033,0500000US26147,26147,St. Clair,06,1867861159,298681155
"Port Manatee, FL",,14854334,163341988,,,,24122703,,,,23100,5080,141120,102671,58613131,,Manatee County,27.63364,-82.56149,Manatee,Manatee,12,081,00295744,0500000US12081,12081,Manatee,06,1924766330,387447446
"Port Sulphur, LA",,,,,,,,,,,12000,24558,,,,,Plaquemines Parish,29.47917,-89.69514,Plaquemines,Plaquemines,22,075,00558125,0500000US22075,22075,Plaquemines,15,2021056000,4628015820
"Port Townsend, WA",,,,,,,,,,,35157,5607,,,,,Jefferson County,48.10765,-122.77973,Jefferson,Jefferson,53,031,01531936,0500000US53031,53031,Jefferson,06,4671790710,994835539
"Portal, ND",151046422,266569280,221069391,22740511,79283809,19893443,137744098,4425471,6263234,35744105,159534584,245530630,89660339,84676577,321834088,213968987,Burke County,48.99836,-102.55334,Burke,Burke,38,013,01034235,0500000US38013,38013,Burke,06,-1436701374,65700835
"Porthill, ID",,254567,1054722,,,,,5193354,8248,,36025,,,,182427,62583,Boundary County,48.99926,-116.49897,Boundary,Boundary,16,021,00395159,0500000US16021,16021,Boundary,06,-1008977125,24160676
"Portland International Airport, WA",11500,,155488,256462,131919,,80922,116215,,18422,11355611,384490,1345354,7880,381792,29316,Multnomah County,45.58977,-122.59509,Multnomah,Multnomah,41,051,01135861,0500000US41051,41051,Multnomah,06,1116597727,88213123
"Portland, ME",21000,,6386834,9035,,,8380011,5011772,,,7097644,448353,,145584,3054557,,Cumberland County,43.65758,-70.24060,Cumberland,Cumberland,23,005,00581288,0500000US23005,23005,Cumberland,06,-2130576351,988820985
"Portland, OR",,1641984,122315823,4064904,12297464,3466677,39655702,21932134,,1476437995,792328841,8861045,8429374,6334562,25656967,1881006,Multnomah County,45.58809,-122.58908,Multnomah,Multnomah,41,051,01135861,0500000US41051,41051,Multnomah,06,1116597727,88213123
"Portsmouth, NH",,,,40653,,43994,902772,42890,,,82958,,44831,95640,38272082,,Rockingham County,43.08231,-70.76217,Rockingham,Rockingham,33,015,00873181,0500000US33015,33015,Rockingham,06,1800347172,259322762
"Presidio, TX",93808149,137568,19227541,,4912,,,,27069624,2833761,9276154,230125,,7437,1545518,,Presidio County,29.56207,-104.39064,Presidio,Presidio,48,377,01383974,0500000US48377,48377,Presidio,06,9985057447,1773188
"Progreso, TX",,,122968011,7686,,3472,3752946,,,146859182,40266295,18211029,,11865861,3456591,,Hidalgo County,26.06331,-97.94949,Hidalgo,Hidalgo,48,215,01383893,0500000US48215,48215,Hidalgo,06,-226356858,31102594
"Providence, RI",,,1302,2452677,,,,160722617,,,,386525,,,102061,24736565,Providence County,41.78885,-71.38360,Providence,Providence,44,007,01219781,0500000US44007,44007,Providence,06,1060698086,67732522
"Raymond, MT",14978891,2510438,8144438,5253487,80978,3354311,2014540,,200599,154428,42343180,3371516,304813,157285,2056125,332417,Sheridan County,48.99725,-104.57531,Sheridan,Sheridan,30,091,01677577,0500000US30091,30091,Sheridan,06,4340302863,75079144
"Reno, NV",,,,,,,,,,,,,8846,,,,Washoe County,39.50977,-119.77680,Washoe,Washoe,32,031,00858608,0500000US32031,32031,Washoe,06,16323099199,621146345
"Richford, VT",,9160571,338837,3610334,,1056962,111159,,,27419,2747,740964,,,20496,,Franklin County,45.01376,-72.66274,Franklin,Franklin,50,011,01461762,0500000US50011,50011,Franklin,06,1641633748,150930318
"Richmond, CA",,,,,,,270881487,3085235,,,,,,,31184713,,Contra Costa County,37.92370,-122.38900,Contra Costa,Contra Costa,06,013,01675903,0500000US06013,06013,Contra Costa,06,1871930816,209819213
"Richmond-Petersburg, VA",,,120847,451752,,,,,,,,,,,5260,,King William County,37.55266,-76.81064,King William,King William,51,101,01480138,0500000US51101,51101,King William,06,709504128,30286031
"Rio Grande City, TX",,17266,100278339,,30578,506880,3053949,3433402,,1028401,71616,,,,146206,3168,Starr County,26.36729,-98.80143,Starr,Starr,48,427,01383999,0500000US48427,48427,Starr,06,-1126948052,15346370
"Rochester, NY",,,,43398,,,,,,,,7695,,19204,90935,,Monroe County,43.25574,-77.60730,Monroe,Monroe,36,055,00974126,0500000US36055,36055,Monroe,06,1702166306,1837580224
"Rockford Airport, IL",,,679,6774,,,,,22400,,18754,146868,16720,,618318,,Winnebago County,42.20193,-89.09560,Winnebago,Winnebago,17,201,01785216,0500000US17201,17201,Winnebago,06,1329696036,15107670
"Rockland, ME",,,,,,,,,,,,,,12342,4961,,Knox County,44.10059,-69.10772,Knox,Knox,23,013,00581292,0500000US23013,23013,Knox,06,945693972,2017106979
"Roma, TX",,,607663,,,,251650,,,,741170,634984,,47618,83860,1497774,Starr County,26.40408,-99.01683,Starr,Starr,48,427,01383999,0500000US48427,48427,Starr,06,-1126948052,15346370
