port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county_geocoder,latitude,longitude,ll_county,county
"JFK International Airport, NY",151580947,79304,143042929,128729083,241078009,1481965,172779274,21534334,67233307,148539,62534069,56313826,219173382,3301000,131711170,39157021,Queens County,40.6413111,-73.7781391,Queens,Queens
"Jackman, ME",,3317523,7938169,3519892,1476762,392989,16635798,53712,,,74203,137302,193852,11233,5391678,,Somerset County,45.8054303,-70.3958389,Somerset,Somerset
"Jacksonville, FL",,319497,240711099,6411573,241955799,5322626,97090605,9760509,49753,6264831,47282712,35611724,146796340,25466431,145441142,66447470,Duval County,30.356184,-81.625047,Duval,Duval
"Jonesport, ME",,,,,,,,,,,,22908,21540,238223,129582,,Washington County,44.5347969,-67.5930111,Washington,Washington
"Juneau, AK",,,,,147158,,,,,,12083,,544311,,,,Juneau,58.2986111,-134.4055556,Juneau,Juneau
"Kahului, HI",,,,,,,,,,,133249,,,,10250,,Maui County,20.894208,-156.4668209,Maui,Maui
"Kalama, WA",,,,,,,,,,1508344769,2038065660,23965828,,,,,Cowlitz County,46.0057055,-122.8460479,Cowlitz,Cowlitz
"Kansas City, MO",,,,86263,,3704,885570,3662652,4709,,,,,,15300,,Jackson County,39.1090016,-94.5860261,Jackson,Jackson
"Kenmore Air Harbor, WA",,,,,,,,,,,,,3282,,,34912,King County,47.628574,-122.33983,King,King
"Ketchikan, AK",,,,,61300,,,,,,,,2550262,,52571,,Ketchikan Gateway,55.3516833,-131.6838562,Ketchikan Gateway,Ketchikan Gateway
"Key West, FL",,,8133,,,,,,,,27974,,25377,12314,13130,357586,Monroe County,24.561146,-81.8012645,Monroe,Monroe
"Knoxville, TN",,,,,,,,,,,10040,,,,,,Knox County,35.957303,-83.842681,Knox,Knox
"Kona, HI",,,,,76012,,,,,,3506458,,,,3953703,,Hawaii County,19.6393742,-155.9969544,Hawaii,Hawaii
"Lake Charles, LA",,,,,,,,,,189232021,9136496,,17300,8415709,3774662,,Calcasieu Parish,30.2158233,-93.2497472,Calcasieu,Calcasieu
"Lancaster, MN",,,434415,,,,,16554,,,63068,,,,,,Kittson County,48.9981272,-96.8003477,Kittson,Kittson
"Laredo, TX",26485872,1958000,1316641019,157935714,364044458,515330880,1714109951,779619818,23270457,1083488902,948569107,604957512,2041421775,307930445,2339552204,297711783,Webb County,27.6798234,-99.455272,Webb,Webb
"Las Vegas, NV",16950,,1617000,99671,540261,2846,524340,9439652,,,1635166,19827,122299,10915,1775052,27342,Clark County,36.1617161,-115.1736045,Clark,Clark
"Laurier, WA",,,,,,,,,,,497883,,,,,,Ferry County,48.9993776,-118.2243776,Ferry,Ferry
"Limestone, ME",,267356,75126,,,,,,,345229,195526,,,,31372,,Aroostook County,46.924956,-67.790007,Aroostook,Aroostook
"Little Rock, AR",,,,,,,4548261,8386564,37772,,3781,7339,,,,,Pulaski County,34.7176717,-92.1746107,Pulaski,Pulaski
"Logan Airport, MA",469381,,8789190,8544055,64027416,21332,4090231,342361,8111385,,775484,2234822,82993401,12640,4800158,2660,Suffolk County,42.3656132,-71.0095602,Suffolk,Suffolk
"Long Beach, CA",,14179054,256640912,63233227,312279193,62155463,265531670,300924403,,112189730,3158322213,1684361511,1035948584,191907093,1365439886,139069150,Los Angeles County,33.754185,-118.216458,Los Angeles,Los Angeles
"Longview, WA",,,15811,6283,,,53203,,,828788525,1049935702,76759838,,,,6829,Cowlitz County,46.108014,-122.9519764,Cowlitz,Cowlitz
"Los Angeles International Airport, CA",38453751,,277355062,38684329,239181267,1108512,77390044,3500315,78260377,260709,463156788,9524490,53328523,3934071,249470728,32074676,Los Angeles County,33.9415889,-118.40853,Los Angeles,Los Angeles
"Los Angeles, CA",508000,190620849,1950012937,580336811,4177936642,466448063,2026630580,1454774519,85860,138166310,4167755954,1890000112,1829355217,134882532,1698089520,151457411,Los Angeles County,33.7395459,-118.2599686,Los Angeles,Los Angeles
"Louisville, KY",,,347666,852947,,8700,471616,123693237,,9197,257855,216967,,,598395,20252,Jefferson County,38.1646749,-85.900067,Jefferson,Jefferson
Low Value,,,,,,,,,4253882,5256109,709016557,59679959,45404077,67162084,273226301,54010061,Mumbai,19.0024811,72.8249607,,
"Lukeville, AZ",,,,,30603,,33136,,,,189796,,29328,,,20349,Pima County,31.8804244,-112.8169016,Pima,Pima
"Lynden, WA",,233920,18496477,2508363,,,14400,32481,386590,111637,40458992,328537,2519432,1739919,6756787,1028445,Whatcom County,49.0016738,-122.4858105,Whatcom,Whatcom
"Mackinac Island, MI",,,,,,,,,,,4360,,,,15222,,Mackinac County,45.8509907,-84.614452,Mackinac,Mackinac
"Madawaska, ME",,,11200,,,,,,,109950,57960,103118,,,291110,19765,Aroostook County,47.3572088,-68.328592,Aroostook,Aroostook
"Maida, ND",,167291,2017960,1027462,,,,,,,251292,20769,,,,,Cavalier County,48.9985126,-98.3658475,Cavalier,Cavalier
Mail Shipments,,,,,,,,,,3467,3236737,758057,,2515,89494,10909,,40.776568,-74.010492,Hudson,Hudson
"Marquette, MI",,,,,,,,,,,4808,,,49622,,,Marquette County,46.5815701,-87.3845351,Marquette,Marquette
"Massena, NY",303646,903414,8368858,12590650,,5651774,17573141,6122491,4971,41872,556030,4268693,677158,264940,4522986,253814,St Lawrence County,44.954776,-74.8242182,St. Lawrence,St. Lawrence
"Mayaguez, PR",2500,3540722,503835,6089817,23402,44683,3373335,157282,,3030,94229,87500,,156419,42289,23481,,18.2184683,-67.1596786,Mayagüez,
"Meadows Field Airport Bakersfield, CA",,,2874,,,,,,,,,,,,,,Kern County,35.4329123,-119.056618,Kern,Kern
"Melbourne Regional Airport, FL",,,,,56286,,,,,,,,,,,,Brevard County,28.1025235,-80.6453675,Brevard,Brevard
"Memphis, TN",3435,260286,2872945,1683478,5130888,119288,12096272,40453,22238474,,2991713,4554791,1979023,13235,5671755,24854,Shelby County,35.1079737,-90.0894328,Shelby,Shelby
"Metaline Falls, WA",,,,,,,24602,,,,354063,,,,,,Pend Oreille County,48.8508261,-117.3910568,Pend Oreille,Pend Oreille
"Miami International Airport, FL",88972678,99920814,1376114882,43916211,928974100,1757958,26150694,1161796,49727208,19839347,66315286,44735729,31057102,1679478,117581050,1876134,Miami-Dade County,25.795865,-80.2870457,Miami-Dade,Miami-Dade
"Miami, FL",,73382763,874840066,39617900,925110189,42117637,240192628,642710177,417325,11787789,699183532,53770374,258040476,85414077,453584671,178992679,Miami-Dade County,25.7745435,-80.1708802,Miami-Dade,Miami-Dade
"MidAmerican Airport, Mascoutah, IL",,,248671,,,,,,,,,,,,,,St Clair County,38.5491996,-89.8216405,St. Clair,St. Clair
"Milwaukee, WI",,,472803,1139123,,3516289,1226611,2381430,26854,2270588,899116,,,,,,Milwaukee County,43.002812,-87.8911419,Milwaukee,Milwaukee
"Minneapolis-St. Paul, MN",38016,91789,6391823,965418,2800254,4185983,18884670,10621383,612718,3444,464494,538758,215701,194717,2664092,43554,Hennepin County,44.8847554,-93.2222846,Hennepin,Hennepin
"Mobile, AL",,,4788060,212251,669840,391008,114013399,1258571,542241,13485452,248883541,1836556,438341126,2854171,76561922,36583,Mobile County,30.6867801,-88.0381593,Mobile,Mobile
"Monterey, CA",,,,,,,,,,,,,,,75677,38862,Monterey County,36.6116265,-121.8955095,Monterey,Monterey
