port,latitude,longitude,county,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8
"Charlotte, NC",35.27173,-80.9095,Mecklenburg,4400,,1223471,3744521,1210229,11962,730624,3616,,,2188221,329706,2952,26283,1502869,23341
"Chester, PA",39.85241,-75.34195,Delaware,,,140340540,6711249,3610151,17448380,251447580,21719868,38450090,1217140,979546,668915,39060,441552,35407887,640423
"Chicago, IL",41.72874,-87.53346,Cook,19289876,4592292,77341215,102538208,60236291,50695614,204203502,55829406,167562221,3428933,16185870,87615771,46550406,5734312,135903290,7083446
"Cincinnati-Lawrenceburg, OH",39.09981,-84.51198,Hamilton,,3873,1007867,4030825,24611,94490,1035848,16462330,70581203,16400,394454,513957,,25927,2483538,652592
"Cleveland, OH",41.50143,-81.70287,Cuyahoga,4395,250418,19510713,18967949,127167,133888,11420059,1308112,2409908,24816,31824866,9644438,793893,959008,10221149,3935174
"Columbia, SC",33.94443,-81.10952,Lexington,,,650,,,,6500,451279,,,,,,,,
"Columbus, NM",31.78442,-107.62765,Luna,9676478,446102,36134242,,,97300,11330,,,,584660,93155,,,,
"Columbus, OH",39.99994,-82.88718,Franklin,,,156076,7698300,31248,93561,407010,19786,,,33434,8039,2759,,27493,
"Coos Bay, OR",43.36775,-124.21343,Coos,,,,,,,,,,,295136,,,,,46440
"Coral Bay, VI",18.33206,-64.79456,St. John,,,,,,,,,,,11461,4564,26946,4838,19530,9854
"Corpus Christi, TX",27.80396,-97.39323,Nueces,,,,,,,,,,577278176,247936212,,,,,
"Crockett, CA",38.05313,-122.22521,Contra Costa,,,,,,,278454922,,,,,,,,,
"Cruz Bay, VI",18.33206,-64.79456,St. John,,,,,,,,,,,,,,2956,304251,3145669
"Dallas Love Field, Dallas, TX",32.8481,-96.85121,Dallas,,,,,,,,,5200,,,,,,,
"Dallas-Fort Worth, TX",32.91068,-97.00948,Dallas,740791,11385,9817748,27676024,21872756,123412,14915563,370626,2140208,42939,6702613,21157236,3201279,306124,13397895,1033052
"Danville, WA",48.99994,-118.50353,Ferry,,,,,,,,,,,24105,,,,,
"Dayton, OH",39.75507,-84.1854,Montgomery,1852019,,,,,,,,1477300,,,,,,270833,
"Del Rio, TX",29.33403,-100.91801,Val Verde,36216787,,3247537,66964,,,367648,,137489,430903,7224099,3052951,225136,108802,99548,46986
"Denver, CO",39.75779,-104.98611,Denver,242699,,905134,286308,4099922,8169,3576436,201020,1911088,,2095431,688188,89031,9093,4105960,578015
"Derby Line, VT",45.00451,-72.08928,Orleans,965387,5220129,53356303,25297001,17985703,15125188,67704588,939101,307485,,3156055,1173078,1183619,591295,3833052,481567
"Des Moines, IA",41.53413,-93.6588,Polk,,,,,,,,,,,37416,,,,22438,
"Detroit Metropolitan Airport, MI",42.21617,-83.35538,Wayne,4308133,272191,3557291,817316,495996,166970,1469872,59146,27976,34757,126867,34814,19723,19346,1588748,68675
"Detroit, MI",42.32753,-83.04128,Wayne,86857278,147510020,789444354,129763579,557382783,993786508,1343874895,340648173,4498282,213627303,1909557149,361951685,1862832114,865898159,1449329356,327323454
"Douglas, AZ",31.38442,-109.5169,Cochise,65547817,,48514989,,,,313633,17371,306000,17380,96377198,1595164,39159,51545,614373,346363
"Duluth, MN - Superior, WI",46.75729,-92.10177,St. Louis,,,,,675360,,,,,157585078,33012069,22894800,,,,
"Dunseith, ND",48.99833,-100.0523,Rolette,106722012,13593193,54582610,2551936,,1417823,1767125,,431436,13852297,22832275,15931201,13954,961487,1054732,116141
"Durham, NC",35.87689,-78.79269,Wake,,,173817,398135,617355,,2254301,116141,,,83768,40312,,,511152,
"Eagle Pass, TX",28.7056,-100.50611,Maverick,75591482,742407,32085348,15524330,,,186346806,1057730317,20141065,284871487,872095151,327032257,14309153,93042730,503943632,5639178
"Eastport, ID",49.00013,-116.18151,Boundary,335264087,58691939,32748143,279563305,27895249,41536190,279213064,5413066,2682017,1567370,200880302,6099831,3386431,36811764,86948580,63771169
"Eastport, ME",44.90762,-66.98404,Washington,,,,,3946795,,,,38311248,,13403,70968,40957565,10305,26660,
"El Paso, TX",31.67214,-106.33532,El Paso,,141470,233170661,12192730,3862776,14043677,180318067,260662132,6508465,880023361,439916575,221455369,284084218,63736885,745490958,26559995
"El Segundo, CA",33.89656,-118.39257,Los Angeles,,,,,,,51816,,,,,585000,155597,16007,1214464,
"Escanaba, MI",45.74408,-87.04464,Delta,,,,,,,,8348,,,21242,,,32754,,
"Everett, WA",48.00072,-122.2173,Snohomish,,,128462,,,,,603944,,10913,,,453770,21729,81043,
"Fabens, TX",31.43526,-106.14223,El Paso,,,,,,,,,,3380765,,,285001,,,
"Fall River, MA",41.70149,-71.15505,Bristol,,,28988,,176162,,,453323,,,,,,,14700,
"Fargo, ND",46.91961,-96.81817,Cass,,,,,,,,,3044335,,,57168,,,,
"Fernandina, FL",30.62771,-81.55607,Nassau,,,,,385880,,,,,41179,3480524,544510,4287104,2530156,9219971,3330740
"Ferry, WA",48.15949,-122.67251,Island,,,,,,,,,,,51610,,,29591,69999,
"Fort Fairfield, ME",46.76575,-67.78994,Aroostook,,,130089,,,381813,10091814,,,96695,5695639,789879,135130,3629002,3165167,883926
"Fort Kent, ME",47.24826,-68.60289,Aroostook,,,28089,,,,,,395955,1249031,213027,,,,,
"Fort Myers Airport, FL",26.53371,-81.75531,Lee,2850,,,,,2209,2135,4849,,,,,290258,,3160781,13745
"Fort Pierce, FL",27.45909,-80.32635,St. Lucie,,,,,469948,,,,,141763,342611,517457,1867607,867592,2741384,241254
"Fort Worth Alliance Airport, TX",32.98739,-97.31406,Tarrant,,,,,,,,,,,,7310,,,,
"Fortuna, ND",48.99853,-103.80996,Divide,,,2036,,,,,,,134669,122482,,,,,
"Freeport, TX",28.93841,-95.34826,Brazoria,,,157945916,,10219000,1456778,3007959,2477,,53784274,59047632,844671,13800911,70188,2849900,924795
"Friday Harbor, WA",48.53641,-123.01686,San Juan,,,,,,,417942,,,,8426,,,,,
"Frontier, WA",48.99971,-117.83167,Stevens,,,,,,,,,39945,,647589,20533,,10067,314635,
"Ft. Lauderdale International Airport, FL",26.07423,-80.1506,Broward,,,119227,,3339832,,,6228,2921495,,995411,18138,2499145,8899,163187,33724
"Galveston, TX",29.30655,-94.79708,Galveston,,,125966908,,,,,,135478466,262476667,428180,,8300,,19440,
"Georgetown, SC",33.36089,-79.29269,Georgetown,,,1120,,,,,126220,,,,,,,,
"Gloucester City, NJ",39.89857,-75.12652,Camden,,,,,,,,,,,38074,12600,389115,1116482,1435520,223113
"Gramercy, LA",30.04764,-90.68995,St. James,,31227406,,,,,54169047,27003,,2543453044,7404269555,439636089,,5297730,143021289,4186269
"Grand Forks, ND",47.94286,-97.17658,Grand Forks,,,,,,,,,,,26236,6260,,,281758,46030
"Grand Portage, MN",48.00002,-89.58893,Cook,,,110263,,424957,,,269761,4001,246831,745288,1206049,6304,927387,455386,
"Grand Rapids, MI",42.88477,-85.50637,Kent,,,5808,,,,,,,,,,,,465033,13601
"Great Falls, MT",47.48219,-111.26998,Cascade,,,8271,330823,,,,,,29420,537786,,431453,63519,305569,39112
"Green Bay, WI",44.47586,-88.05517,Brown,,,,,,,2971365,,,,16522,,,,,57185173
"Greenville-Spartansburg, SC",34.87268,-82.22864,Greenville,,,953,8581,,,,71338,,,,,,,,
"Gulfport, MS",30.3686,-89.09358,Harrison,,,253043016,441400,1049520,175654,1241423,648965,60480,417780,204147908,3095366,101810470,3571793,23329893,76664
"Hannah, ND",48.99931,-98.69454,Cavalier,,35494,,,,,,,,,,,,,,
"Hansboro, ND",48.99814,-99.34842,Towner,,,4598834,,,,,,3198,,138574,,,,,
"Harrisburg, PA",40.26408,-76.87948,Dauphin,,,,,,,,,,,,,,,29358,
"Hartford, CT",41.74801,-72.64307,Hartford,,,2430,,,,,,,,,,3725,,,
"Highgate Springs-Alburg, VT",45.01289,-73.08546,Franklin,18641872,28937003,43358185,31370357,5949570,26367926,261427404,18864044,1571586,,8429420,1398549,16894601,28645760,59456709,1472814
"Hildago, TX",26.09689,-98.26991,Hidalgo,39296712,6257015,1826533792,712329,1096006,116854015,327608741,3431514,1275254,25753617,228697263,23036616,285008012,6529008,70238299,18196680
"Hilo, HI",19.72854,-155.05409,Hawaii,,,,,,,,,,,7867,,,,,27814
"Honolulu International Airport, HI",21.32451,-157.92507,Honolulu,657020,2687,14249012,878279,13229004,338205,4074662,107993,442757,88067,15288618,1163282,19891352,482323,14520265,1297822
"Honolulu, HI",21.30133,-157.86513,Honolulu,,9832228,16150673,2823224,43837903,16231445,32210943,47265034,,101436,6927447,696485,121335,577633,17991508,25134931
"Houlton, ME",46.13463,-67.78258,Aroostook,3102349,854867,105336131,3874648,956622201,26873862,187739127,4118516,1935488,100659,69156346,7308511,109661336,8959265,25500587,8654841
"Houston Intercontinental Airport, TX",29.99022,-95.33678,Harris,3931729,19520,5497797,8133648,16442599,132743,11315019,464957,7571951,252960,5042995,4513506,1516766,924476,14734762,438703
"Houston, TX",29.77004,-95.29457,Harris,,46942453,714970554,106965169,453519765,79911431,3630754293,1488276164,69358,1111487371,818956999,108902160,787982492,92094453,1032972224,509299654
"Huntsville, AL",34.64833,-86.77484,Madison,,,105243,17968,,2092,9174025,2423,,,542785,4701887,15776,15697,2520283,48068
"Huron, OH",34.64833,-86.77484,Madison,,,,,,,,,2753,10631,102228,87300,,74508,120473,58674
"Indianapolis, IN",39.769,-86.16136,Marion,,,12379,41014,6653,,358107,,13013666,,41796,565880,,,15924,20809
"International Falls-Ranier, MN",48.60554,-93.40292,Koochiching,,309530535,14827078,61117680,249800,102132378,498185293,503462,,7600875,71174647,208215663,206069,8994870,84083632,152465641
"JFK International Airport, NY",40.64131,-73.77814,Queens,151580947,79304,143042929,128729083,241078009,1481965,172779274,21534334,67233307,148539,62534069,56313826,219173382,3301000,131711170,39157021
"Jackman, ME",45.80543,-70.39584,Somerset,,3317523,7938169,3519892,1476762,392989,16635798,53712,,,74203,137302,193852,11233,5391678,
"Jacksonville, FL",30.35618,-81.62505,Duval,,319497,240711099,6411573,241955799,5322626,97090605,9760509,49753,6264831,47282712,35611724,146796340,25466431,145441142,66447470
"Jonesport, ME",44.5348,-67.59301,Washington,,,,,,,,,,,,22908,21540,238223,129582,
"Juneau, AK",58.29861,-134.40556,Juneau,,,,,147158,,,,,,12083,,544311,,,
"Kahului, HI",20.89421,-156.46682,Maui,,,,,,,,,,,133249,,,,10250,
"Kalama, WA",46.00571,-122.84605,Cowlitz,,,,,,,,,,1508344769,2038065660,23965828,,,,
"Kansas City, MO",39.109,-94.58603,Jackson,,,,86263,,3704,885570,3662652,4709,,,,,,15300,
"Kenmore Air Harbor, WA",47.62857,-122.33983,King,,,,,,,,,,,,,3282,,,34912
"Ketchikan, AK",55.35168,-131.68386,Ketchikan Gateway,,,,,61300,,,,,,,,2550262,,52571,
"Key West, FL",24.56115,-81.80126,Monroe,,,8133,,,,,,,,27974,,25377,12314,13130,357586
"Knoxville, TN",35.9573,-83.84268,Knox,,,,,,,,,,,10040,,,,,
"Kona, HI",19.63937,-155.99695,Hawaii,,,,,76012,,,,,,3506458,,,,3953703,
"Lake Charles, LA",30.21582,-93.24975,Calcasieu,,,,,,,,,,189232021,9136496,,17300,8415709,3774662,
"Lancaster, MN",48.99813,-96.80035,Kittson,,,434415,,,,,16554,,,63068,,,,,
"Laredo, TX",27.67982,-99.45527,Webb,26485872,1958000,1316641019,157935714,364044458,515330880,1714109951,779619818,23270457,1083488902,948569107,604957512,2041421775,307930445,2339552204,297711783
"Las Vegas, NV",36.16172,-115.1736,Clark,16950,,1617000,99671,540261,2846,524340,9439652,,,1635166,19827,122299,10915,1775052,27342
"Laurier, WA",48.99938,-118.22438,Ferry,,,,,,,,,,,497883,,,,,
"Limestone, ME",46.92496,-67.79001,Aroostook,,267356,75126,,,,,,,345229,195526,,,,31372,
"Little Rock, AR",34.71767,-92.17461,Pulaski,,,,,,,4548261,8386564,37772,,3781,7339,,,,
"Logan Airport, MA",42.36561,-71.00956,Suffolk,469381,,8789190,8544055,64027416,21332,4090231,342361,8111385,,775484,2234822,82993401,12640,4800158,2660
"Long Beach, CA",33.75418,-118.21646,Los Angeles,,14179054,256640912,63233227,312279193,62155463,265531670,300924403,,112189730,3158322213,1684361511,1035948584,191907093,1365439886,139069150
"Longview, WA",46.10801,-122.95198,Cowlitz,,,15811,6283,,,53203,,,828788525,1049935702,76759838,,,,6829
"Los Angeles International Airport, CA",33.94159,-118.40853,Los Angeles,38453751,,277355062,38684329,239181267,1108512,77390044,3500315,78260377,260709,463156788,9524490,53328523,3934071,249470728,32074676
"Los Angeles, CA",33.73955,-118.25997,Los Angeles,508000,190620849,1950012937,580336811,4177936642,466448063,2026630580,1454774519,85860,138166310,4167755954,1890000112,1829355217,134882532,1698089520,151457411
"Louisville, KY",38.16467,-85.90007,Jefferson,,,347666,852947,,8700,471616,123693237,,9197,257855,216967,,,598395,20252
"Lukeville, AZ",31.88042,-112.8169,Pima,,,,,30603,,33136,,,,189796,,29328,,,20349
"Lynden, WA",49.00167,-122.48581,Whatcom,,233920,18496477,2508363,,,14400,32481,386590,111637,40458992,328537,2519432,1739919,6756787,1028445
"Mackinac Island, MI",45.85099,-84.61445,Mackinac,,,,,,,,,,,4360,,,,15222,
"Madawaska, ME",47.35721,-68.32859,Aroostook,,,11200,,,,,,,109950,57960,103118,,,291110,19765
"Maida, ND",48.99851,-98.36585,Cavalier,,167291,2017960,1027462,,,,,,,251292,20769,,,,
Mail Shipments,40.77657,-74.01049,Hudson,,,,,,,,,,3467,3236737,758057,,2515,89494,10909
"Marquette, MI",46.58157,-87.38454,Marquette,,,,,,,,,,,4808,,,49622,,
"Massena, NY",44.95478,-74.82422,St. Lawrence,303646,903414,8368858,12590650,,5651774,17573141,6122491,4971,41872,556030,4268693,677158,264940,4522986,253814
"Mayaguez, PR",18.21847,-67.15968,Mayagüez,2500,3540722,503835,6089817,23402,44683,3373335,157282,,3030,94229,87500,,156419,42289,23481
"Meadows Field Airport Bakersfield, CA",35.43291,-119.05662,Kern,,,2874,,,,,,,,,,,,,
"Melbourne Regional Airport, FL",28.10252,-80.64537,Brevard,,,,,56286,,,,,,,,,,,
"Memphis, TN",35.10797,-90.08943,Shelby,3435,260286,2872945,1683478,5130888,119288,12096272,40453,22238474,,2991713,4554791,1979023,13235,5671755,24854
"Metaline Falls, WA",48.85083,-117.39106,Pend Oreille,,,,,,,24602,,,,354063,,,,,
"Miami International Airport, FL",25.79586,-80.28705,Miami-Dade,88972678,99920814,1376114882,43916211,928974100,1757958,26150694,1161796,49727208,19839347,66315286,44735729,31057102,1679478,117581050,1876134
"Miami, FL",25.77454,-80.17088,Miami-Dade,,73382763,874840066,39617900,925110189,42117637,240192628,642710177,417325,11787789,699183532,53770374,258040476,85414077,453584671,178992679
"MidAmerican Airport, Mascoutah, IL",38.5492,-89.82164,St. Clair,,,248671,,,,,,,,,,,,,
"Milwaukee, WI",43.00281,-87.89114,Milwaukee,,,472803,1139123,,3516289,1226611,2381430,26854,2270588,899116,,,,,
"Minneapolis-St. Paul, MN",44.88476,-93.22228,Hennepin,38016,91789,6391823,965418,2800254,4185983,18884670,10621383,612718,3444,464494,538758,215701,194717,2664092,43554
"Mobile, AL",30.68678,-88.03816,Mobile,,,4788060,212251,669840,391008,114013399,1258571,542241,13485452,248883541,1836556,438341126,2854171,76561922,36583
"Morgan City, LA",29.69148,-91.19995,St. Mary,,,18048,,,,,,,3140,753126,5953,412591,,17612,38680
"Morristown Airport, Newark, NJ",40.79497,-74.42326,Morris,,,,,,,,,210910,,,2553,141344,26257,9071,421869
"Naco, AZ",31.33462,-109.94827,Cochise,,,,,,27532,,,,,,,59723,,,2851
"Nashville, TN",36.2599,-86.74287,Davidson,,,,,,,,,,,5393,,16782,,2518,3863
"Nawiliwili-Port Allen, HI",21.95465,-159.35714,Kauai,,,,,18495,,,,,,,,,,,
"Neah Bay, WA",48.36647,-124.61013,Clallam,,,,,,,,,,,8373,,,,,
"Neche, ND",48.99909,-97.55792,Pembina,,315384,7186284,,,,,,17291,147082,27016806,83724,73899,,11337,
"New Bedford, MA",41.63573,-70.92118,Bristol,,,,,31130,87798,,,,,,,577706,,,
"New Haven, CT",41.29187,-72.90324,New Haven,,,,,,,,21838643,,,,,,,,
"New Orleans, LA",29.93711,-90.06149,Orleans,15213,17802367,894073238,43608041,5239324,2316269,948164210,104530829,3938042,5043457094,7587481045,2010132388,358125339,47442643,1474171679,44317950
"New York, NY",40.68397,-74.00624,Kings,,7776566,372644528,44087548,464699350,69132384,410151514,306364608,252996,25126169,381220591,427950928,327115435,198463836,1256942005,125410070
"Newark, NJ",40.69001,-74.15175,Essex,18776604,208498276,3358883897,494663548,3231114908,944810491,6320096855,5142455762,4443145,3317750,69999736,64072860,215023401,50604782,298356577,15432953
"Newport News, VA",37.07785,-76.46805,Newport News,,,,,,,,78982,,,,,388798,15735,19980,
"Newport, OR",44.6212,-124.04839,Lincoln,,,,,,,,,,1120693,118445,18095205,150000,,33344,
"Newport, RI",41.48345,-71.31551,Newport,,,,,,,,29241218,,,,244857,,,,
"Nogales, AZ",31.33601,-110.96585,Santa Cruz,95164994,3888368,2628361210,18782579,284497751,41014774,125792219,206522762,7509592,35693980,406827163,208265401,92442836,22101972,61148070,14982698
"Noonan, ND",48.99779,-103.00583,Divide,,,,,,,,,,,4918963,,,63558,,
"Norfolk-Newport News, VA",36.84595,-76.29237,Norfolk,3260,24712431,1754709717,131357996,705396074,75765190,513057400,919703433,30200,180955782,2163891867,700318090,715498548,102059365,618147321,159334875
"Northgate, ND",48.99795,-102.27586,Burke,,11581359,7499601,,,,,,,29934,152853,114259,187282,439605,522822,298847
"Norton, VT",45.01033,-71.79416,Essex,,3085583,10886842,4037999,,123511,12855441,12322,3772,8645,2646576,258559,21602,122808,1328119,25900
"Oakland, CA",37.79561,-122.27917,Alameda,1450560,111407453,1443195058,192966885,461195629,220995992,820331498,1541848530,484108,424167826,5415978285,406361650,2725219845,135609037,1569400414,866611968
"Ogdensburg, NY",44.71869,-75.45542,St. Lawrence,,2236120,2927452,8869703,90310,8388361,6457219,129465,85436,,6527925,3799186,816270,449240,6011673,224572
"Oklahoma City, OK",35.44045,-95.5975,McIntosh,,,,,,,,,358383,,,,,,,
"Olympia, WA",47.04946,-122.9032,Thurston,,,,,,,,,,,69000,,,,,
"Omaha, NE",41.30652,-95.90433,Douglas,,,9444529,383,,,24883,328332,,,,,,,,
"Ontario International Airport, CA",34.05598,-117.59806,San Bernardino,,,,,,,,,,,,,,,20579,4200
"Opheim, MT",48.9985,-106.38087,Valley,,102527,147883,,,,,,46529,,413239,472397,,,,
"Orlando Executive Airport, FL",28.54624,-81.33209,Orange,,,,,,,,,,,23226,,16293,,26850,
"Orlando, FL",28.43239,-81.47009,Orange,478430,,8730654,3307235,6118322,84517,1277846,806824,,2684,9622895,163815,182144,188674,14264540,51353
"Orlando-Sanford Airport, FL",28.40013,-81.53461,Orange,,560973,49353,471647,1522944,,144079,102516,,,2071536,,2777,,151921,
"Oroville, WA",48.99933,-119.46276,Okanogan,50559294,115275,18850199,9733832,69061,4053268,3503683,46266,443875,2849325,13883631,522901,6557,733110,15349119,11136352
"Oswego, NY",43.46385,-76.51032,Oswego,,8741045,,,,,,,,,5811,7484,,4643,39171,
"Otay Mesa, CA",32.55057,-116.93822,San Diego,314789,1107052,1008615241,3985215,87244544,43695610,109528840,213763563,466560,16665536,302992608,33805447,169737222,60324363,424737619,25632560
"Owensboro-Evansville, IN",37.7981,-87.14963,Daviess,,,,,,,,20410204,,,,,,,,
"Pal-Waukee User Fee Airport, Wheeling, IL",42.11707,-87.90113,Cook,,,55120,,,,,,,,,,,,,
"Palm Springs Regional Airport, CA",33.83032,-116.50705,Riverside,,,,,,,,,105184,,50358,10581,,,23859,
"Panama City, FL",30.18381,-85.73127,Bay,,,21483203,36412,29278461,183122,12462049,42969,,,53509304,1720780,1313468,1341334,9177005,837093
"Pascagoula, MS",30.36431,-88.55687,Jackson,,,,,,,,,,,849734,,51509194,,,
"Paulsboro, NJ",39.89857,-75.12652,Camden,,,,,,,,19187536,,,,,,,,28377560
"Pembina, ND",48.99918,-97.23923,Pembina,249252261,361348693,320578295,202001973,170092647,136020630,1065204771,557403,6211705,84550600,195824367,186819629,95739661,76880783,224514708,83759124
"Pensacola, FL",30.40588,-87.2106,Escambia,,,,,,,,,,,,,30691985,,,
"Peoria, IL",40.74053,-89.55345,Peoria,,,16770,,,139339,,,,,,,,,,
"Perth Amboy, NJ",40.51974,-74.25945,Middlesex,,,589696,188994,,,8451,24557591,,,414925,20174,,,3642963,83743316
"Philadelphia International Airport, PA",39.8744,-75.24242,Philadelphia,115391,,2866886,6986203,118222,15202,28145683,31681,68682,3230,2715222,3565920,8631968,365567,10224323,73505
"Philadelphia, PA",39.98047,-75.08958,Philadelphia,13886,116566509,1220779516,50304113,1479503535,48384319,1181603062,177737355,198658,94120,16912703,20381403,63635391,5587859,72303874,4840902
"Phoenix, AZ",33.43727,-112.00779,Maricopa,,,482154,494355,1790053,2083,113047,3295492,,,562554,,40555,105451,359524,2953
"Piegan, MT",48.99694,-113.3804,Glacier,,380433,4019,,,37435,,,7396,,228664,,,2923,,
"Pittsburgh, PA",40.44191,-79.99777,Allegheny,,,2117,,,28837,97673,,,,3935,,,,13797,
