port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,geo_county,geo_lat,geo_lon,fcc_county,fcc_fips,join_STATEFP,join_COUNTYFP,join_COUNTYNS,join_AFFGEOID,join_GEOID,join_NAME,join_LSAD,join_ALAND,join_AWATER,distance
"Columbia, SC",,,650,,,,6500,451279,,,,,,,,,Lexington County,33.944432,-81.1095231,Lexington,45063,45,063,01244251,0500000US45063,45063,Lexington,06,1810553175,151957605,0
"Columbus, NM",9676478,446102,36134242,,,97300,11330,,,,584660,93155,,,,,,31.7844155,-107.6276544,Luna,35029,35,029,00933057,0500000US35029,35029,Luna,06,7679944726,433660,0
"Columbus, OH",,,156076,7698300,31248,93561,407010,19786,,,33434,8039,2759,,27493,,Franklin County,39.9999399,-82.8871767,Franklin,39049,39,049,01074037,0500000US39049,39049,Franklin,06,1378855894,29122804,0
"Coos Bay, OR",,,,,,,,,,,295136,,,,,46440,Coos County,43.367748,-124.213429,Coos,41011,41,011,01135848,0500000US41011,41011,Coos,06,-161386850,544862331,0
"Coral Bay, VI",,,,,,,,,,,11461,4564,26946,4838,19530,9854,Cruz Bay,18.3320603,-64.7945631,St. John,78020,72,049,01804504,0500000US72049,72049,Culebra,13,30115057,407158804,0.427149181768721
"Corpus Christi, TX",,,,,,,,,,577278176,247936212,,,,,,Nueces County,27.8039563,-97.3932329,Nueces,48355,48,355,01383963,0500000US48355,48355,Nueces,06,-2123743578,847262030,0
"Crockett, CA",,,,,,,278454922,,,,,,,,,,Contra Costa County,38.0531281,-122.2252095,Contra Costa,6013,06,095,00277312,0500000US06095,06095,Solano,06,2128380148,218647027,0
"Cruz Bay, VI",,,,,,,,,,,,,,2956,304251,3145669,Cruz Bay,18.3320603,-64.7945631,St. John,78020,72,049,01804504,0500000US72049,72049,Culebra,13,30115057,407158804,0.427149181768721
"Dallas Love Field, Dallas, TX",,,,,,,,,5200,,,,,,,,Dallas County,32.8481029,-96.8512063,Dallas,48113,48,113,01383842,0500000US48113,48113,Dallas,06,-2033735324,92085898,0
"Dallas-Fort Worth, TX",740791,11385,9817748,27676024,21872756,123412,14915563,370626,2140208,42939,6702613,21157236,3201279,306124,13397895,1033052,Dallas County,32.910676,-97.0094811,Dallas,48113,48,113,01383842,0500000US48113,48113,Dallas,06,-2033735324,92085898,0
"Dalton Cache, AK",,,5075,,180486,,,,,,,,4106,,,,,59.4503047,-136.3612427,,,02,100,01419970,0500000US02100,02100,Haines,04,6009296606,1049684477,0.00012048670769826
"Danville, WA",,,,,,,,,,,24105,,,,,,Ferry County,48.9999383,-118.5035294,Ferry,53019,53,019,01531821,0500000US53019,53019,Ferry,06,5706360691,140294376,0
"Dayton, OH",1852019,,,,,,,,1477300,,,,,,270833,,Montgomery County,39.7550722,-84.1854037,Montgomery,39113,39,113,01074069,0500000US39113,39113,Montgomery,06,1195426527,7203231,0
"Del Bonita, MT",,76401,22461,,,,,,14598,,3879619,17654,,,3264,,Division No. 3,48.9987334,-112.7879394,,,30,035,01719607,0500000US30035,30035,Glacier,06,7756748578,106139963,0.000117758664548514
"Del Rio, TX",36216787,,3247537,66964,,,367648,,137489,430903,7224099,3052951,225136,108802,99548,46986,Val Verde County,29.3340299,-100.9180082,Val Verde,48465,48,465,01384018,0500000US48465,48465,Val Verde,06,8144863674,227711349,0
"Denver, CO",242699,,905134,286308,4099922,8169,3576436,201020,1911088,,2095431,688188,89031,9093,4105960,578015,Denver County,39.7577895,-104.9861127,Denver,8031,08,031,00198131,0500000US08031,08031,Denver,06,397133930,4225831,0
"Derby Line, VT",965387,5220129,53356303,25297001,17985703,15125188,67704588,939101,307485,,3156055,1173078,1183619,591295,3833052,481567,Orleans County,45.0045056,-72.0892837,Orleans,50019,50,019,01461766,0500000US50019,50019,Orleans,06,1796376281,71442197,0
"Des Moines, IA",,,,,,,,,,,37416,,,,22438,,Polk County,41.5341333,-93.6587958,Polk,19153,19,153,00465265,0500000US19153,19153,Polk,06,1485836340,46230836,0
"Detour City, MI",,,,,,,,,,,60004,10000,,4564,30990,2897,NoData,45.9969445,-83.8994445,Chippewa,26033,26,033,01622959,0500000US26033,26033,Chippewa,06,-258651872,-1342487873,0
"Detroit Metropolitan Airport, MI",4308133,272191,3557291,817316,495996,166970,1469872,59146,27976,34757,126867,34814,19723,19346,1588748,68675,Wayne County,42.2161722,-83.3553842,Wayne,26163,26,163,01623022,0500000US26163,26163,Wayne,06,1585112017,157118555,0
"Detroit, MI",86857278,147510020,789444354,129763579,557382783,993786508,1343874895,340648173,4498282,213627303,1909557149,361951685,1862832114,865898159,1449329356,327323454,Wayne County,42.327535,-83.0412827,Wayne,26163,26,163,01623022,0500000US26163,26163,Wayne,06,1585112017,157118555,0
"Douglas, AZ",65547817,,48514989,,,,313633,17371,306000,17380,96377198,1595164,39159,51545,614373,346363,Cochise County,31.384423,-109.516895,Cochise,4003,04,003,00025442,0500000US04003,04003,Cochise,06,15966175635,137024922,0
"Duluth, MN - Superior, WI",,,,,675360,,,,,157585078,33012069,22894800,,,,,St Louis County,46.7572947,-92.1017691,St. Louis,27137,27,137,00662850,0500000US27137,27137,St. Louis,06,16181092598,1584976829,0
"Dunseith, ND",106722012,13593193,54582610,2551936,,1417823,1767125,,431436,13852297,22832275,15931201,13954,961487,1054732,116141,Rolette County,48.9983331,-100.0522981,Rolette,38079,38,079,01034228,0500000US38079,38079,Rolette,06,-1956013508,93938154,0
"Durham, NC",,,173817,398135,617355,,2254301,116141,,,83768,40312,,,511152,,Wake County,35.8768885,-78.7926863,Wake,37183,37,183,01008592,0500000US37183,37183,Wake,06,-2132817584,58100780,0
"Eagle Pass, TX",75591482,742407,32085348,15524330,,,186346806,1057730317,20141065,284871487,872095151,327032257,14309153,93042730,503943632,5639178,Maverick County,28.705596,-100.5061141,Maverick,48323,48,323,01383944,0500000US48323,48323,Maverick,06,-981148075,31869807,0.000700061339162169
"Eastport, ID",335264087,58691939,32748143,279563305,27895249,41536190,279213064,5413066,2682017,1567370,200880302,6099831,3386431,36811764,86948580,63771169,Boundary County,49.0001318,-116.1815088,Boundary,16021,16,021,00395159,0500000US16021,16021,Boundary,06,-1008977125,24160676,0
"Eastport, ME",,,,,3946795,,,,38311248,,13403,70968,40957565,10305,26660,,Washington County,44.9076241,-66.984036,Washington,23029,23,029,00581300,0500000US23029,23029,Washington,06,6637326623,1800003685,0.00322127505583435
"El Paso, TX",,141470,233170661,12192730,3862776,14043677,180318067,260662132,6508465,880023361,439916575,221455369,284084218,63736885,745490958,26559995,El Paso County,31.67214,-106.3353211,El Paso,48141,48,141,01383855,0500000US48141,48141,El Paso,06,-1670822809,5443531,0
"El Segundo, CA",,,,,,,51816,,,,,585000,155597,16007,1214464,,Los Angeles County,33.8965571,-118.3925726,Los Angeles,6037,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510651024,1794730436,0
"Escanaba, MI",,,,,,,,8348,,,21242,,,32754,,,Delta County,45.7440779,-87.0446359,Delta,26041,26,041,01622963,0500000US26041,26041,Delta,06,-1261848239,2124391646,0
"Everett, WA",,,128462,,,,,603944,,10913,,,453770,21729,81043,,Snohomish County,48.0007168,-122.2173022,Snohomish,53061,53,061,01529222,0500000US53061,53061,Snohomish,06,5404201031,282769956,0
"Fabens, TX",,,,,,,,,,3380765,,,285001,,,,El Paso County,31.4352601,-106.1422299,El Paso,48141,48,141,01383855,0500000US48141,48141,El Paso,06,-1670822809,5443531,0.00071688618243138
"Fall River, MA",,,28988,,176162,,,453323,,,,,,,14700,,Bristol County,41.7014912,-71.1550451,Bristol,25005,25,005,00606929,0500000US25005,25005,Bristol,06,1432482514,357547961,0
"Fargo, ND",,,,,,,,,3044335,,,57168,,,,,Cass County,46.9196105,-96.8181729,Cass,38017,38,017,01034226,0500000US38017,38017,Cass,06,4571152345,7732475,0
"Fernandina, FL",,,,,385880,,,,,41179,3480524,544510,4287104,2530156,9219971,3330740,Nassau County,30.6277138,-81.5560669,Nassau,12089,12,089,00295730,0500000US12089,12089,Nassau,06,1679966560,200159166,0
"Ferry, WA",,,,,,,,,,,51610,,,29591,69999,,Island County,48.1594884,-122.672507,Island,53029,53,029,01513272,0500000US53029,53029,Island,06,539622439,800242041,0.01772520914016
"Fort Fairfield, ME",,,130089,,,381813,10091814,,,96695,5695639,789879,135130,3629002,3165167,883926,Aroostook County,46.765749,-67.7899427,Aroostook,23003,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178,0
"Fort Kent, ME",,,28089,,,,,,395955,1249031,213027,,,,,,,47.2482649,-68.6028918,Aroostook,23003,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178,0
"Fort Myers Airport, FL",2850,,,,,2209,2135,4849,,,,,290258,,3160781,13745,Lee County,26.5337051,-81.7553083,Lee,12071,12,071,00295758,0500000US12071,12071,Lee,06,2030766730,1109263864,0
"Fort Pierce, FL",,,,,469948,,,,,141763,342611,517457,1867607,867592,2741384,241254,St Lucie County,27.459089,-80.3263458,St. Lucie,12111,12,111,00308372,0500000US12111,12111,St. Lucie,06,1480637152,300863100,0
"Fort Worth Alliance Airport, TX",,,,,,,,,,,,7310,,,,,Tarrant County,32.9873898,-97.3140628,Tarrant,48439,48,439,01384005,0500000US48439,48439,Tarrant,06,-2058123971,100091246,0
"Fortuna, ND",,,2036,,,,,,,134669,122482,,,,,,,48.9985348,-103.8099643,Divide,38023,38,023,01034234,0500000US38023,38023,Divide,06,-1029652246,86629398,0
"Freeport, TX",,,157945916,,10219000,1456778,3007959,2477,,53784274,59047632,844671,13800911,70188,2849900,924795,Brazoria County,28.9384127,-95.3482611,Brazoria,48039,48,039,01383805,0500000US48039,48039,Brazoria,06,-778250343,649539534,0
"Friday Harbor, WA",,,,,,,417942,,,,8426,,,,,,San Juan County,48.5364079,-123.0168624,San Juan,53055,53,055,01531931,0500000US53055,53055,San Juan,06,450428674,1157428261,0
"Frontier, WA",,,,,,,,,39945,,647589,20533,,10067,314635,,Stevens County,48.9997086,-117.8316724,Stevens,53065,53,065,01531930,0500000US53065,53065,Stevens,06,6416413110,163008888,0
"Ft. Lauderdale International Airport, FL",,,119227,,3339832,,,6228,2921495,,995411,18138,2499145,8899,163187,33724,Broward County,26.0742344,-80.1506022,Broward,12011,12,011,00295753,0500000US12011,12011,Broward,06,-1168965328,300067051,0
"Galveston, TX",,,125966908,,,,,,135478466,262476667,428180,,8300,,19440,,Galveston County,29.3065514,-94.7970765,Galveston,48167,48,167,01383869,0500000US48167,48167,Galveston,06,981463489,1281660465,0
"Georgetown, SC",,,1120,,,,,126220,,,,,,,,,Georgetown County,33.3608856,-79.2926912,Georgetown,45043,45,043,01248002,0500000US45043,45043,Georgetown,06,2107183538,572535186,0
"Gloucester City, NJ",,,,,,,,,,,38074,12600,389115,1116482,1435520,223113,Camden County,39.8985678,-75.1265227,Camden,34007,34,007,00882273,0500000US34007,34007,Camden,06,573287175,15729813,0
"Gramercy, LA",,31227406,,,,,54169047,27003,,2543453044,7404269555,439636089,,5297730,143021289,4186269,St James Parish,30.0476399,-90.6899483,St. James,22093,22,093,01629464,0500000US22093,22093,St. James,15,625582188,42168610,0
"Grand Forks, ND",,,,,,,,,,,26236,6260,,,281758,46030,Grand Forks County,47.942861,-97.176582,Grand Forks,38035,38,035,01034218,0500000US38035,38035,Grand Forks,06,-574770838,8098167,0
"Grand Portage, MN",,,110263,,424957,,,269761,4001,246831,745288,1206049,6304,927387,455386,,Cook County,48.0000232,-89.5889274,Cook,27031,27,031,00659461,0500000US27031,27031,Cook,06,-533345900,4887941605,0
"Grand Rapids, MI",,,5808,,,,,,,,,,,,465033,13601,Kent County,42.8847702,-85.5063677,Kent,26081,26,081,01622983,0500000US26081,26081,Kent,06,-2099514035,62871179,0
"Great Falls, MT",,,8271,330823,,,,,,29420,537786,,431453,63519,305569,39112,Cascade County,47.48219,-111.269984,Cascade,30013,30,013,01719622,0500000US30013,30013,Cascade,06,6988276640,34358092,0
"Green Bay, WI",,,,,,,2971365,,,,16522,,,,,57185173,Brown County,44.475864,-88.055172,Brown,55009,55,009,01581064,0500000US55009,55009,Brown,06,1372031559,222703849,0
"Greenville-Spartansburg, SC",,,953,8581,,,,71338,,,,,,,,,Greenville County,34.872685,-82.2286356,Greenville,45045,45,045,01245489,0500000US45045,45045,Greenville,06,2033561297,25132347,0
"Gulfport, MS",,,253043016,441400,1049520,175654,1241423,648965,60480,417780,204147908,3095366,101810470,3571793,23329893,76664,Harrison County,30.368598,-89.093577,Harrison,28047,28,047,00695747,0500000US28047,28047,Harrison,06,1486713864,1063618187,0
"Hannah, ND",,35494,,,,,,,,,,,,,,,Cavalier County,48.99931,-98.6945381,Cavalier,38019,38,019,01035304,0500000US38019,38019,Cavalier,06,-439121145,54931547,0
"Hansboro, ND",,,4598834,,,,,,3198,,138574,,,,,,Towner County,48.9981385,-99.3484211,Towner,38095,38,095,01034213,0500000US38095,38095,Towner,06,-1641350348,43800577,0
"Harrisburg, PA",,,,,,,,,,,,,,,29358,,Dauphin County,40.2640805,-76.8794826,Dauphin,42043,42,043,01213667,0500000US42043,42043,Dauphin,06,1359893288,85780784,0
"Hartford, CT",,,2430,,,,,,,,,,3725,,,,Hartford County,41.7480081,-72.6430661,Hartford,9003,09,003,00212338,0500000US09003,09003,Hartford,06,1903985507,40128067,0
"Highgate Springs-Alburg, VT",18641872,28937003,43358185,31370357,5949570,26367926,261427404,18864044,1571586,,8429420,1398549,16894601,28645760,59456709,1472814,Franklin County,45.0128851,-73.0854626,Franklin,50011,50,011,01461762,0500000US50011,50011,Franklin,06,1641633748,150930318,0
"Hildago, TX",39296712,6257015,1826533792,712329,1096006,116854015,327608741,3431514,1275254,25753617,228697263,23036616,285008012,6529008,70238299,18196680,Hidalgo County,26.0968854,-98.2699052,Hidalgo,48215,48,215,01383893,0500000US48215,48215,Hidalgo,06,-226356858,31102594,0
"Hilo, HI",,,,,,,,,,,7867,,,,,27814,Hawaii County,19.7285403,-155.0540889,Hawaii,15001,15,001,00365280,0500000US15001,15001,Hawaii,06,10433637858,-1555497266,0
"Honolulu International Airport, HI",657020,2687,14249012,878279,13229004,338205,4074662,107993,442757,88067,15288618,1163282,19891352,482323,14520265,1297822,Honolulu County,21.3245132,-157.9250736,Honolulu,15003,15,003,00365281,0500000US15003,15003,Honolulu,06,1555561841,-240039474,0
"Honolulu, HI",,9832228,16150673,2823224,43837903,16231445,32210943,47265034,,101436,6927447,696485,121335,577633,17991508,25134931,Honolulu County,21.3013326,-157.8651304,Honolulu,15003,15,003,00365281,0500000US15003,15003,Honolulu,06,1555561841,-240039474,0
"Houlton, ME",3102349,854867,105336131,3874648,956622201,26873862,187739127,4118516,1935488,100659,69156346,7308511,109661336,8959265,25500587,8654841,Aroostook County,46.134631,-67.7825761,Aroostook,23003,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178,0
"Houston Intercontinental Airport, TX",3931729,19520,5497797,8133648,16442599,132743,11315019,464957,7571951,252960,5042995,4513506,1516766,924476,14734762,438703,Harris County,29.9902199,-95.3367827,Harris,48201,48,201,01383886,0500000US48201,48201,Harris,06,4415561579,188066851,0
"Houston, TX",,46942453,714970554,106965169,453519765,79911431,3630754293,1488276164,69358,1111487371,818956999,108902160,787982492,92094453,1032972224,509299654,Harris County,29.7700369,-95.2945694,Harris,48201,48,201,01383886,0500000US48201,48201,Harris,06,4415561579,188066851,0
"Huntsville, AL",,,105243,17968,,2092,9174025,2423,,,542785,4701887,15776,15697,2520283,48068,Madison County,34.6483274,-86.7748408,Madison,1089,01,089,00161570,0500000US01089,01089,Madison,06,2076157081,28765532,0
"Huron, OH",,,,,,,,,2753,10631,102228,87300,,74508,120473,58674,Madison County,34.6483274,-86.7748408,Madison,1089,01,089,00161570,0500000US01089,01089,Madison,06,2076157081,28765532,0
"Indianapolis, IN",,,12379,41014,6653,,358107,,13013666,,41796,565880,,,15924,20809,Marion County,39.7689961,-86.161358,Marion,18097,18,097,00450371,0500000US18097,18097,Marion,06,1026612130,17179347,0
"International Falls-Ranier, MN",,309530535,14827078,61117680,249800,102132378,498185293,503462,,7600875,71174647,208215663,206069,8994870,84083632,152465641,Koochiching County,48.6055421,-93.4029212,Koochiching,27071,27,071,00659481,0500000US27071,27071,Koochiching,06,8039819285,129002453,0.00494001989670546
"JFK International Airport, NY",151580947,79304,143042929,128729083,241078009,1481965,172779274,21534334,67233307,148539,62534069,56313826,219173382,3301000,131711170,39157021,Queens County,40.6413111,-73.7781391,Queens,36081,36,081,00974139,0500000US36081,36081,Queens,06,281708062,179390933,0
"Jackman, ME",,3317523,7938169,3519892,1476762,392989,16635798,53712,,,74203,137302,193852,11233,5391678,,Somerset County,45.8054303,-70.3958389,Somerset,23025,23,025,00581298,0500000US23025,23025,Somerset,06,10164092046,437895944,0
"Jacksonville, FL",,319497,240711099,6411573,241955799,5322626,97090605,9760509,49753,6264831,47282712,35611724,146796340,25466431,145441142,66447470,Duval County,30.356184,-81.625047,Duval,12031,12,031,00293656,0500000US12031,12031,Duval,06,1975214580,403585903,0
"Jonesport, ME",,,,,,,,,,,,22908,21540,238223,129582,,Washington County,44.5347969,-67.5930111,Washington,23029,23,029,00581300,0500000US23029,23029,Washington,06,6637326623,1800003685,0
"Juneau, AK",,,,,147158,,,,,,12083,,544311,,,,Juneau,58.2986111,-134.4055556,Juneau,2110,02,110,01419971,0500000US02110,02110,Juneau,03,6998163331,1429463661,0
"Kahului, HI",,,,,,,,,,,133249,,,,10250,,Maui County,20.894208,-156.4668209,Maui,15009,15,009,00365283,0500000US15009,15009,Maui,06,-1286616079,-1091675445,0
"Kalama, WA",,,,,,,,,,1508344769,2038065660,23965828,,,,,Cowlitz County,46.0057055,-122.8460479,Cowlitz,53015,53,015,01529156,0500000US53015,53015,Cowlitz,06,-1341249390,67323174,0
"Kansas City, MO",,,,86263,,3704,885570,3662652,4709,,,,,,15300,,Jackson County,39.1090016,-94.5860261,Jackson,29095,29,095,00758502,0500000US29095,29095,Jackson,06,1565835130,30484057,0
"Kenmore Air Harbor, WA",,,,,,,,,,,,,3282,,,34912,King County,47.628574,-122.33983,King,53033,53,033,01531933,0500000US53033,53033,King,06,5479358152,496938646,0
"Ketchikan, AK",,,,,61300,,,,,,,,2550262,,52571,,Ketchikan Gateway,55.3516833,-131.6838562,Ketchikan Gateway,2130,02,130,01419973,0500000US02130,02130,Ketchikan Gateway,04,12583212278,4649427959,0
"Key West, FL",,,8133,,,,,,,,27974,,25377,12314,13130,357586,Monroe County,24.561146,-81.8012645,Monroe,12087,12,087,00295759,0500000US12087,12087,Monroe,06,-1748970119,7133387352,0
"Knoxville, TN",,,,,,,,,,,10040,,,,,,Knox County,35.957303,-83.842681,Knox,47093,47,093,01639761,0500000US47093,47093,Knox,06,1316269093,45712672,0
"Kona, HI",,,,,76012,,,,,,3506458,,,,3953703,,Hawaii County,19.6393742,-155.9969544,Hawaii,15001,15,001,00365280,0500000US15001,15001,Hawaii,06,10433637858,-1555497266,0.00101516159289888
"Lake Charles, LA",,,,,,,,,,189232021,9136496,,17300,8415709,3774662,,Calcasieu Parish,30.2158233,-93.2497472,Calcasieu,22019,22,019,00558468,0500000US22019,22019,Calcasieu,15,-1538429096,77608623,0
"Lancaster, MN",,,434415,,,,,16554,,,63068,,,,,,Kittson County,48.9981272,-96.8003477,Kittson,27069,27,069,00659480,0500000US27069,27069,Kittson,06,-1449072449,12411746,0
"Laredo, TX",26485872,1958000,1316641019,157935714,364044458,515330880,1714109951,779619818,23270457,1083488902,948569107,604957512,2041421775,307930445,2339552204,297711783,Webb County,27.6798234,-99.455272,Webb,48479,48,479,01384025,0500000US48479,48479,Webb,06,8706186702,36555096,0
"Las Vegas, NV",16950,,1617000,99671,540261,2846,524340,9439652,,,1635166,19827,122299,10915,1775052,27342,Clark County,36.1617161,-115.1736045,Clark,32003,32,003,00863600,0500000US32003,32003,Clark,06,20439281442,438376844,0
"Laurier, WA",,,,,,,,,,,497883,,,,,,Ferry County,48.9993776,-118.2243776,Ferry,53019,53,019,01531821,0500000US53019,53019,Ferry,06,5706360691,140294376,0
"Limestone, ME",,267356,75126,,,,,,,345229,195526,,,,31372,,Aroostook County,46.924956,-67.790007,Aroostook,23003,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178,0
"Little Rock, AR",,,,,,,4548261,8386564,37772,,3781,7339,,,,,Pulaski County,34.7176717,-92.1746107,Pulaski,5119,05,119,00069177,0500000US05119,05119,Pulaski,06,1964693964,127125478,0
"Logan Airport, MA",469381,,8789190,8544055,64027416,21332,4090231,342361,8111385,,775484,2234822,82993401,12640,4800158,2660,Suffolk County,42.3656132,-71.0095602,Suffolk,25025,25,025,00606939,0500000US25025,25025,Suffolk,06,150865086,160470296,0
"Long Beach, CA",,14179054,256640912,63233227,312279193,62155463,265531670,300924403,,112189730,3158322213,1684361511,1035948584,191907093,1365439886,139069150,Los Angeles County,33.754185,-118.216458,Los Angeles,6037,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510651024,1794730436,0
"Longview, WA",,,15811,6283,,,53203,,,828788525,1049935702,76759838,,,,6829,Cowlitz County,46.108014,-122.9519764,Cowlitz,53015,53,015,01529156,0500000US53015,53015,Cowlitz,06,-1341249390,67323174,0
"Los Angeles International Airport, CA",38453751,,277355062,38684329,239181267,1108512,77390044,3500315,78260377,260709,463156788,9524490,53328523,3934071,249470728,32074676,Los Angeles County,33.9415889,-118.40853,Los Angeles,6037,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510651024,1794730436,0
"Los Angeles, CA",508000,190620849,1950012937,580336811,4177936642,466448063,2026630580,1454774519,85860,138166310,4167755954,1890000112,1829355217,134882532,1698089520,151457411,Los Angeles County,33.7395459,-118.2599686,Los Angeles,6037,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510651024,1794730436,0
"Louisville, KY",,,347666,852947,,8700,471616,123693237,,9197,257855,216967,,,598395,20252,Jefferson County,38.1646749,-85.900067,Jefferson,21111,18,061,00451677,0500000US18061,18061,Harrison,06,1254889453,5193189,0
"Lukeville, AZ",,,,,30603,,33136,,,,189796,,29328,,,20349,Pima County,31.8804244,-112.8169016,Pima,4019,04,019,00025446,0500000US04019,04019,Pima,06,23794775138,5273054,0.000218537227666046
"Lynden, WA",,233920,18496477,2508363,,,14400,32481,386590,111637,40458992,328537,2519432,1739919,6756787,1028445,Whatcom County,49.0016738,-122.4858105,Whatcom,53073,53,073,01529224,0500000US53073,53073,Whatcom,06,5459395531,1028184731,0
"Mackinac Island, MI",,,,,,,,,,,4360,,,,15222,,Mackinac County,45.8509907,-84.614452,Mackinac,26097,26,097,01622991,0500000US26097,26097,Mackinac,06,-1648155368,-1501169467,0
"Madawaska, ME",,,11200,,,,,,,109950,57960,103118,,,291110,19765,Aroostook County,47.3572088,-68.328592,Aroostook,23003,23,003,00581287,0500000US23003,23003,Aroostook,06,17278038268,405253178,0.00227523707706143
"Maida, ND",,167291,2017960,1027462,,,,,,,251292,20769,,,,,Cavalier County,48.9985126,-98.3658475,Cavalier,38019,38,019,01035304,0500000US38019,38019,Cavalier,06,-439121145,54931547,0
"Marquette, MI",,,,,,,,,,,4808,,,49622,,,Marquette County,46.5815701,-87.3845351,Marquette,26103,26,103,01622994,0500000US26103,26103,Marquette,06,4683963838,-109608477,0
"Massena, NY",303646,903414,8368858,12590650,,5651774,17573141,6122491,4971,41872,556030,4268693,677158,264940,4522986,253814,St Lawrence County,44.954776,-74.8242182,St. Lawrence,36089,36,089,00977309,0500000US36089,36089,St. Lawrence,06,6939259168,367916370,0
"Mayaguez, PR",2500,3540722,503835,6089817,23402,44683,3373335,157282,,3030,94229,87500,,156419,42289,23481,,18.2184683,-67.1596786,Mayagüez,72097,72,097,01804529,0500000US72097,72097,Mayagüez,13,201174437,508705758,0.000429905883092106
"Meadows Field Airport Bakersfield, CA",,,2874,,,,,,,,,,,,,,Kern County,35.4329123,-119.056618,Kern,6029,06,029,02054176,0500000US06029,06029,Kern,06,21061589620,79574760,0
"Melbourne Regional Airport, FL",,,,,56286,,,,,,,,,,,,Brevard County,28.1025235,-80.6453675,Brevard,12009,12,009,00295749,0500000US12009,12009,Brevard,06,-1665113968,1402820790,0
"Memphis, TN",3435,260286,2872945,1683478,5130888,119288,12096272,40453,22238474,,2991713,4554791,1979023,13235,5671755,24854,Shelby County,35.1079737,-90.0894328,Shelby,47157,47,157,01639790,0500000US47157,47157,Shelby,06,1977687718,55517852,0
"Metaline Falls, WA",,,,,,,24602,,,,354063,,,,,,Pend Oreille County,48.8508261,-117.3910568,Pend Oreille,53051,53,051,01529157,0500000US53051,53051,Pend Oreille,06,-668337194,65388389,0
"Miami International Airport, FL",88972678,99920814,1376114882,43916211,928974100,1757958,26150694,1161796,49727208,19839347,66315286,44735729,31057102,1679478,117581050,1876134,Miami-Dade County,25.795865,-80.2870457,Miami-Dade,12086,12,086,00295755,0500000US12086,12086,Miami-Dade,06,4917514829,1379208315,0
"Miami, FL",,73382763,874840066,39617900,925110189,42117637,240192628,642710177,417325,11787789,699183532,53770374,258040476,85414077,453584671,178992679,Miami-Dade County,25.7745435,-80.1708802,Miami-Dade,12086,12,086,00295755,0500000US12086,12086,Miami-Dade,06,4917514829,1379208315,0
"MidAmerican Airport, Mascoutah, IL",,,248671,,,,,,,,,,,,,,St Clair County,38.5491996,-89.8216405,St. Clair,17163,17,163,01784987,0500000US17163,17163,St. Clair,06,1703639689,42092622,0
"Milwaukee, WI",,,472803,1139123,,3516289,1226611,2381430,26854,2270588,899116,,,,,,Milwaukee County,43.002812,-87.8911419,Milwaukee,55079,55,079,01581100,0500000US55079,55079,Milwaukee,06,625803949,-1839892825,0
"Minneapolis-St. Paul, MN",38016,91789,6391823,965418,2800254,4185983,18884670,10621383,612718,3444,464494,538758,215701,194717,2664092,43554,Hennepin County,44.8847554,-93.2222846,Hennepin,27053,27,053,00659472,0500000US27053,27053,Hennepin,06,1433923040,137089920,0
"Mobile, AL",,,4788060,212251,669840,391008,114013399,1258571,542241,13485452,248883541,1836556,438341126,2854171,76561922,36583,Mobile County,30.6867801,-88.0381593,Mobile,1097,01,097,00161575,0500000US01097,01097,Mobile,06,-1110835961,1073840930,0
"Monterey, CA",,,,,,,,,,,,,,,75677,38862,Monterey County,36.6116265,-121.8955095,Monterey,6053,06,053,00277291,0500000US06053,06053,Monterey,06,8496669426,1270747469,0
"Morgan City, LA",,,18048,,,,,,,3140,753126,5953,412591,,17612,38680,St Mary Parish,29.69148,-91.1999456,St. Mary,22101,22,101,01629492,0500000US22101,22101,St. Mary,15,1438845622,1460445312,0
"Morristown Airport, Newark, NJ",,,,,,,,,210910,,,2553,141344,26257,9071,421869,Morris County,40.7949743,-74.4232636,Morris,34027,34,027,00882231,0500000US34027,34027,Morris,06,1192817713,54393389,0
"Naco, AZ",,,,,,27532,,,,,,,59723,,,2851,Cochise County,31.3346151,-109.9482737,Cochise,4003,04,003,00025442,0500000US04003,04003,Cochise,06,15966175635,137024922,0
"Nashville, TN",,,,,,,,,,,5393,,16782,,2518,3863,Davidson County,36.2599031,-86.7428733,Davidson,47037,47,037,01639737,0500000US47037,47037,Davidson,06,1304953365,56649279,0
"Nawiliwili-Port Allen, HI",,,,,18495,,,,,,,,,,,,Kauai County,21.9546501,-159.3571378,Kauai,15007,15,007,00365282,0500000US15007,15007,Kauai,06,1605492336,1674244223,0
"Neah Bay, WA",,,,,,,,,,,8373,,,,,,Clallam County,48.3664725,-124.6101308,Clallam,53009,53,009,01531341,0500000US53009,53009,Clallam,06,4503153139,-1881089760,0
